
time,ax,ay,az,wx,wy,wz,
0.003,-0.72,0.10,0.21,-0.04,-0.03,-0.04,
0.004,-0.72,0.10,0.21,-0.03,-0.05,-0.04,
0.004,-0.72,0.10,0.21,-0.01,-0.08,-0.03,
0.004,-0.72,0.10,0.21,0.00,-0.11,-0.02,
0.004,-0.73,0.08,0.38,0.00,-0.11,-0.02,
0.005,-0.73,0.08,0.38,0.02,-0.14,-0.01,
0.005,-0.68,0.05,0.51,0.02,-0.14,-0.01,
0.005,-0.68,0.05,0.51,0.04,-0.17,-0.01,
0.005,-0.68,0.05,0.51,0.06,-0.20,-0.00,
0.008,-0.60,0.05,0.62,0.06,-0.20,-0.00,
0.008,-0.60,0.05,0.62,0.08,-0.23,-0.00,
0.009,-0.60,0.05,0.62,0.10,-0.25,0.00,
0.011,-0.60,0.05,0.62,0.13,-0.28,0.00,
0.011,-0.50,0.01,0.70,0.13,-0.28,0.00,
0.015,-0.50,0.01,0.70,0.16,-0.29,0.01,
0.016,-0.42,-0.01,0.77,0.16,-0.29,0.01,
0.016,-0.42,-0.01,0.77,0.18,-0.31,0.01,
0.019,-0.42,-0.01,0.77,0.21,-0.32,0.02,
0.021,-0.42,-0.01,0.77,0.25,-0.33,0.04,
0.022,-0.35,-0.05,0.80,0.25,-0.33,0.04,
0.024,-0.35,-0.05,0.80,0.28,-0.34,0.05,
0.025,-0.34,0.01,0.88,0.28,-0.34,0.05,
0.026,-0.34,0.01,0.88,0.32,-0.34,0.06,
0.03,-0.34,0.01,0.88,0.35,-0.33,0.07,
0.03,-0.34,0.01,0.88,0.39,-0.33,0.07,
0.031,-0.30,0.00,0.80,0.39,-0.33,0.07,
0.034,-0.30,0.00,0.80,0.42,-0.32,0.08,
0.038,-0.30,0.00,0.80,0.46,-0.31,0.08,
0.038,-0.22,-0.03,0.79,0.46,-0.31,0.08,
0.038,-0.22,-0.03,0.79,0.50,-0.30,0.08,
0.041,-0.09,-0.08,0.80,0.50,-0.30,0.08,
0.041,-0.09,-0.08,0.80,0.53,-0.29,0.08,
0.043,-0.09,-0.08,0.80,0.57,-0.28,0.07,
0.049,-0.09,-0.08,0.80,0.60,-0.27,0.06,
0.049,0.07,-0.08,0.80,0.60,-0.27,0.06,
0.05,0.07,-0.08,0.80,0.63,-0.26,0.05,
0.051,0.18,-0.12,0.78,0.63,-0.26,0.05,
0.051,0.18,-0.12,0.78,0.66,-0.25,0.05,
0.053,0.18,-0.12,0.78,0.69,-0.24,0.04,
0.055,0.22,-0.15,0.73,0.69,-0.24,0.04,
0.056,0.22,-0.15,0.73,0.72,-0.24,0.02,
0.057,0.22,-0.15,0.73,0.75,-0.24,0.01,
0.061,0.26,-0.15,0.68,0.75,-0.24,0.01,
0.061,0.26,-0.15,0.68,0.77,-0.24,-0.00,
0.063,0.26,-0.15,0.68,0.79,-0.23,-0.01,
0.064,0.24,-0.15,0.59,0.79,-0.23,-0.01,
0.064,0.24,-0.15,0.59,0.81,-0.23,-0.03,
0.067,0.24,-0.15,0.59,0.82,-0.23,-0.04,
0.069,0.24,-0.15,0.59,0.84,-0.22,-0.05,
0.07,0.23,-0.10,0.43,0.84,-0.22,-0.05,
0.072,0.23,-0.10,0.43,0.85,-0.21,-0.06,
0.074,0.17,-0.06,0.24,0.85,-0.21,-0.06,
0.075,0.17,-0.06,0.24,0.86,-0.20,-0.07,
0.077,0.17,-0.06,0.24,0.87,-0.19,-0.08,
0.08,0.17,-0.06,0.24,0.87,-0.18,-0.08,
0.08,0.12,-0.02,0.04,0.87,-0.18,-0.08,
0.081,0.12,-0.02,0.04,0.87,-0.17,-0.08,
0.085,0.04,0.03,-0.15,0.87,-0.17,-0.08,
0.085,0.04,0.03,-0.15,0.87,-0.17,-0.08,
0.086,0.04,0.03,-0.15,0.87,-0.17,-0.08,
