
time,ax,ay,az,wx,wy,wz,
0.001,-0.13,-0.23,-0.10,-0.06,0.28,0.20,
0.002,-0.13,-0.23,-0.10,-0.07,0.25,0.21,
0.002,-0.34,-0.08,0.14,-0.07,0.25,0.21,
0.002,-0.34,-0.08,0.14,-0.08,0.22,0.23,
0.005,-0.34,-0.08,0.14,-0.09,0.19,0.25,
0.005,-0.50,0.07,0.28,-0.09,0.19,0.25,
0.006,-0.50,0.07,0.28,-0.10,0.17,0.28,
0.013,-0.56,0.22,0.22,-0.10,0.17,0.28,
0.013,-0.56,0.22,0.22,-0.12,0.16,0.30,
0.014,-0.56,0.22,0.22,-0.13,0.16,0.32,
0.014,-0.56,0.22,0.22,-0.15,0.16,0.35,
0.014,-0.50,0.31,-0.00,-0.15,0.16,0.35,
0.016,-0.50,0.31,-0.00,-0.16,0.15,0.37,
0.018,-0.37,0.37,-0.03,-0.16,0.15,0.37,
0.018,-0.37,0.37,-0.03,-0.17,0.14,0.39,
0.02,-0.37,0.37,-0.03,-0.18,0.11,0.40,
0.023,-0.27,0.34,0.21,-0.18,0.11,0.40,
0.023,-0.27,0.34,0.21,-0.19,0.08,0.41,
0.025,-0.27,0.34,0.21,-0.19,0.05,0.43,
0.028,-0.27,0.34,0.21,-0.19,0.00,0.44,
0.028,-0.21,0.24,0.47,-0.19,0.00,0.44,
0.03,-0.21,0.24,0.47,-0.19,-0.04,0.44,
0.033,-0.14,0.13,0.68,-0.19,-0.04,0.44,
0.034,-0.14,0.13,0.68,-0.18,-0.08,0.45,
0.035,-0.14,0.13,0.68,-0.17,-0.12,0.46,
0.038,-0.11,0.02,0.74,-0.17,-0.12,0.46,
0.038,-0.11,0.02,0.74,-0.15,-0.15,0.46,
0.04,-0.11,0.02,0.74,-0.14,-0.17,0.47,
0.042,-0.11,0.02,0.74,-0.13,-0.19,0.47,
0.043,-0.02,0.01,0.67,-0.13,-0.19,0.47,
0.045,-0.02,0.01,0.67,-0.12,-0.21,0.47,
0.047,0.12,0.06,0.60,-0.12,-0.21,0.47,
0.048,0.12,0.06,0.60,-0.12,-0.22,0.47,
0.05,0.12,0.06,0.60,-0.11,-0.24,0.47,
0.052,0.12,0.06,0.60,-0.11,-0.25,0.48,
0.052,0.24,0.08,0.63,-0.11,-0.25,0.48,
0.055,0.24,0.08,0.63,-0.10,-0.28,0.48,
0.059,0.24,0.08,0.63,-0.09,-0.31,0.48,
0.059,0.32,0.04,0.82,-0.09,-0.31,0.48,
0.06,0.32,0.04,0.82,-0.08,-0.34,0.48,
0.062,0.32,0.04,0.82,-0.07,-0.37,0.47,
0.063,0.37,-0.05,1.02,-0.07,-0.37,0.47,
0.065,0.37,-0.05,1.02,-0.06,-0.40,0.47,
0.073,0.36,-0.18,1.19,-0.06,-0.40,0.47,
0.074,0.36,-0.18,1.19,-0.04,-0.43,0.46,
0.074,0.36,-0.18,1.19,-0.03,-0.46,0.45,
0.074,0.31,-0.32,1.16,-0.03,-0.46,0.45,
0.075,0.31,-0.32,1.16,-0.01,-0.48,0.44,
